beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,0,0,6.913830280303955,1.1700232028961182,0.8058160543441772,0.7284141778945923,,,,
0.0,0,1,6.990608215332031,1.4725596904754639,1.1093697547912598,0.726379930973053,,,,
0.0,0,2,6.853472709655762,1.3264648914337158,0.9645235538482666,0.7238827347755432,,,,
0.0,0,3,6.16862678527832,1.8161020278930664,1.4748528003692627,0.6824984550476074,,,,
0.0,0,4,6.645969390869141,1.3857510089874268,1.0404984951019287,0.6905050277709961,,,,
0.0,0,5,6.703302383422852,1.354443907737732,0.9945189952850342,0.7198498249053955,,,,
0.0,0,6,6.729879379272461,1.7352808713912964,1.3841073513031006,0.7023470401763916,,,,
0.0,0,7,6.460481643676758,1.399996042251587,1.0505083799362183,0.6989752054214478,,,,
0.0,0,7,,,,,7.346794128417969,1.3270803689956665,0.9523430466651917,0.7494746446609497
0.0,1,8,7.069732666015625,1.7379379272460938,1.3806653022766113,0.7145452499389648,,,,
0.0,1,9,6.746757507324219,1.3440866470336914,0.9896171689033508,0.7089388370513916,,,,
0.0,1,10,6.666948318481445,1.2989490032196045,0.9392024278640747,0.71949303150177,,,,
0.0,1,11,6.5071702003479,1.3353610038757324,0.9862387776374817,0.698244571685791,,,,
0.0,1,12,6.575064182281494,1.4037737846374512,1.0524119138717651,0.7027238607406616,,,,
0.0,1,13,6.7767839431762695,1.269092321395874,0.9083995819091797,0.7213854789733887,,,,
0.0,1,14,6.1817145347595215,1.3042854070663452,0.9636731147766113,0.6812245845794678,,,,
0.0,1,15,7.084188461303711,2.0470666885375977,1.6971933841705322,0.69974684715271,,,,
0.0,1,15,,,,,7.34292459487915,1.3201541900634766,0.951373279094696,0.7375619411468506
0.0,2,16,6.596530437469482,1.3857545852661133,1.031854271888733,0.7078007459640503,,,,
0.0,2,17,6.3296003341674805,1.3880678415298462,1.0444287061691284,0.6872782111167908,,,,
0.0,2,18,6.377796173095703,1.7059202194213867,1.3607475757598877,0.690345287322998,,,,
0.0,2,19,6.433043003082275,1.4232277870178223,1.0729584693908691,0.7005386352539062,,,,
0.0,2,20,6.289338111877441,1.5207223892211914,1.178329586982727,0.6847855448722839,,,,
